OrderID,OrderNumber,Week,Date&Time,Comment,User,MerchandiseRevenue,PaymentMethod,POCID,Rating,Reasons,ShippingType,State,CorrectWeek,CorrectState
191357,14027,1,2017-01-01 10:11:01,,user7gmail.com,105.12,,26,5.0,,receber,SP,52,SP
191361,14031,1,2017-01-01 11:39:28,,user11gmail.com,70.848,,30,5.0,,receber,SP,52,SP
191362,14032,1,2017-01-01 12:22:29,,user12gmail.com,62.304,,26,,,receber,SP,52,SP
191384,14054,1,2017-01-01 15:35:10,,user33gmail.com,48.816,,29,1.0,,receber,SP,52,SP
191385,14055,1,2017-01-01 16:02:38,,user34gmail.com,70.848,,30,5.0,,receber,SP,52,SP
191386,14056,1,2017-01-01 16:13:28,,user35gmail.com,42.048,,26,,,receber,SP,52,SP
191405,14075,1,2017-01-01 20:31:45,,user52gmail.com,33.984,,30,,,receber,SP,52,SP
191413,14083,2,2017-01-02 17:18:12,,user60gmail.com,232.73600000000002,,21,,,receber,SP,1,SP
191414,14084,2,2017-01-02 18:24:46,,user61gmail.com,81.456,,21,5.0,,receber,SP,1,SP
191432,14102,2,2017-01-03 13:42:22,,user78gmail.com,32.448,,18,5.0,,receber,SP,1,SP
191433,14103,2,2017-01-03 15:24:38,,user79gmail.com,29.880000000000003,,24,,,receber,SP,1,SP
191434,14104,2,2017-01-03 15:33:58,,user80gmail.com,28.584,,21,5.0,,receber,SP,1,SP
191456,14126,2,2017-01-03 21:30:39,,user102gmail.com,30.32,,30,,,receber,SP,1,SP
191457,14127,2,2017-01-03 22:22:34,,user103gmail.com,84.24000000000001,,30,5.0,,receber,SP,1,SP
191458,14128,2,2017-01-03 22:40:18,,user104gmail.com,28.752,,24,5.0,,receber,SP,1,SP
191476,14147,2,2017-01-04 16:20:04,,user120gmail.com,31.936000000000003,,18,1.0,,receber,SP,1,SP
191484,14155,2,2017-01-04 16:46:09,,user127gmail.com,29.927999999999997,,25,5.0,,receber,SP,1,SP
191485,14156,2,2017-01-04 16:50:50,,user128gmail.com,28.336000000000002,,19,,,receber,SP,1,SP
191503,14174,2,2017-01-04 20:33:39,,user145gmail.com,51.92000000000001,,21,5.0,,receber,SP,1,SP
191504,14175,2,2017-01-04 20:36:44,,user113gmail.com,79.77600000000001,,26,,,receber,SP,1,SP
191505,14176,2,2017-01-04 20:41:49,,user146gmail.com,32.544000000000004,,23,,,receber,SP,1,SP
191527,14198,2,2017-01-05 12:49:28,,user91gmail.com,52.704,,25,5.0,,receber,SP,1,SP
191528,14199,2,2017-01-05 12:49:46,,user164gmail.com,29.336000000000002,,19,3.0,,receber,SP,1,SP
191532,14203,2,2017-01-05 15:39:19,,user167gmail.com,54.688,,18,5.0,,receber,SP,1,SP
191547,14218,2,2017-01-05 18:09:19,,user178gmail.com,143.656,,23,,,receber,SP,1,SP
191555,14226,2,2017-01-05 18:55:31,,user185gmail.com,29.880000000000003,,25,,,receber,SP,1,SP
191556,14227,2,2017-01-05 18:59:21,,user159gmail.com,32.448,,25,5.0,,receber,SP,1,SP
191574,14245,2,2017-01-05 20:40:39,,user199gmail.com,30.616000000000003,,30,5.0,,receber,SP,1,SP
191575,14246,2,2017-01-05 20:45:49,,user200gmail.com,28.752,,21,5.0,,receber,SP,1,SP
191576,14247,2,2017-01-05 20:56:36,,user198gmail.com,39.2,,19,,,receber,SP,1,SP
191598,14269,2,2017-01-06 09:09:33,,user129gmail.com,81.12,,23,5.0,,receber,SP,1,SP
191602,14273,2,2017-01-06 12:22:55,,user218gmail.com,28.392000000000003,,28,,,retirar,SP,1,SP
191603,14274,2,2017-01-06 12:26:04,,user219gmail.com,57.504,,25,5.0,,receber,SP,1,SP
191618,14289,2,2017-01-06 14:33:04,,user232gmail.com,82.864,,21,,,receber,SP,1,SP
191626,14297,2,2017-01-06 15:33:04,,user240gmail.com,52.704,,21,5.0,,receber,SP,1,SP
191627,14298,2,2017-01-06 15:34:21,,user241gmail.com,52.704,,26,5.0,,receber,SP,1,SP
191648,14319,2,2017-01-06 17:37:16,,user254gmail.com,42.992000000000004,,21,5.0,,receber,SP,1,SP
191649,14320,2,2017-01-06 17:47:23,,user175gmail.com,48.672000000000004,,21,5.0,,receber,SP,1,SP
191650,14321,2,2017-01-06 17:48:15,,user255gmail.com,29.664,,21,,,receber,SP,1,SP
191675,14346,2,2017-01-06 19:17:54,,user274gmail.com,51.648,,21,5.0,,receber,SP,1,SP
191676,14347,2,2017-01-06 19:21:49,,user275gmail.com,31.152,,21,5.0,,receber,SP,1,SP
191677,14348,2,2017-01-06 19:22:39,,user276gmail.com,115.008,,27,5.0,,receber,SP,1,SP
191695,14366,2,2017-01-06 20:07:16,,user292gmail.com,43.92,,24,,,receber,SP,1,SP
191700,14371,2,2017-01-06 20:21:40,,user297gmail.com,33.544000000000004,,21,,,receber,SP,1,SP
191701,14372,2,2017-01-06 20:26:03,,user298gmail.com,29.832,,21,5.0,,receber,SP,1,SP
191719,14390,2,2017-01-06 21:13:44,,user312gmail.com,42.048,,21,,,receber,SP,1,SP
191720,14391,2,2017-01-06 21:16:05,,user313gmail.com,52.704,,21,5.0,,receber,SP,1,SP
191721,14392,2,2017-01-06 21:21:29,,user314gmail.com,35.952,,21,5.0,,receber,SP,1,SP
191746,14417,2,2017-01-06 23:34:59,,user211gmail.com,28.104000000000003,,21,5.0,,receber,SP,1,SP
191747,14418,2,2017-01-06 23:36:46,,user333gmail.com,59.760000000000005,,26,4.0,,receber,SP,1,SP
191748,14419,2,2017-01-06 23:39:07,,user334gmail.com,55.416,,30,5.0,,receber,SP,1,SP
191766,14437,2,2017-01-07 10:53:20,,user349gmail.com,57.504,,18,,,receber,SP,1,SP
191771,14442,2,2017-01-07 11:20:59,,user352gmail.com,62.304,,21,5.0,,receber,SP,1,SP
191775,14446,2,2017-01-07 11:36:52,,user356gmail.com,97.34400000000001,,18,4.0,,receber,SP,1,SP
191790,14461,2,2017-01-07 13:27:59,,user365gmail.com,35.424,,30,,,receber,SP,1,SP
191791,14462,2,2017-01-07 13:38:23,,user240gmail.com,52.704,,21,5.0,,receber,SP,1,SP
191795,14466,2,2017-01-07 14:33:55,,user368gmail.com,42.048,,24,5.0,,receber,SP,1,SP
